repo_name,microservice_version,has_paths,error_name,error_code,error_message
business-details-api,v1,False,NinoFormatError,FORMAT_NINO,The provided NINO is invalid
business-details-api,v1,False,TaxYearFormatError,FORMAT_TAX_YEAR,The provided tax year is invalid
business-details-api,v1,False,BusinessIdFormatError,FORMAT_BUSINESS_ID,The provided Business ID is invalid
business-details-api,v1,False,NoBusinessFoundError,NO_BUSINESS_FOUND,No business found for given NINO and Business ID
business-details-api,v1,False,RuleIncorrectOrEmptyBodyError,RULE_INCORRECT_OR_EMPTY_BODY_SUBMITTED,An empty or non-matching body was submitted
business-details-api,v1,False,NotFoundError,MATCHING_RESOURCE_NOT_FOUND,Matching resource not found
business-details-api,v1,False,DownstreamError,INTERNAL_SERVER_ERROR,An internal server error occurred
business-details-api,v1,False,BadRequestError,INVALID_REQUEST,Invalid request
business-details-api,v1,False,BVRError,BUSINESS_ERROR,Business validation error
business-details-api,v1,False,ServiceUnavailableError,SERVICE_UNAVAILABLE,Internal server error
business-details-api,v1,False,UnauthorisedError,CLIENT_OR_AGENT_NOT_AUTHORISED,The client and/or agent is not authorised
business-details-api,v1,False,InvalidBearerTokenError,UNAUTHORIZED,Bearer token is missing or not authorized
business-details-api,v1,False,InvalidAcceptHeaderError,ACCEPT_HEADER_INVALID,The accept header is missing or invalid
business-details-api,v1,False,UnsupportedVersionError,NOT_FOUND,The requested resource could not be found
business-details-api,v1,False,InvalidBodyTypeError,INVALID_BODY_TYPE,Expecting text/json or application/json body
cis-deductions-api,v1,False,NinoFormatError,FORMAT_NINO,The provided NINO is invalid
cis-deductions-api,v1,False,SubmissionIdFormatError,FORMAT_SUBMISSION_ID,The provided submission ID is invalid
cis-deductions-api,v1,False,EmployerRefFormatError,FORMAT_EMPLOYER_REFERENCE,The format of the Employer Reference number is invalid
cis-deductions-api,v1,False,TaxYearFormatError,FORMAT_TAX_YEAR,The provided tax year is invalid
cis-deductions-api,v1,False,FromDateFormatError,FORMAT_FROM_DATE,The provided From date is invalid
cis-deductions-api,v1,False,ToDateFormatError,FORMAT_TO_DATE,The provided To date is invalid
cis-deductions-api,v1,False,DeductionFromDateFormatError,FORMAT_DEDUCTIONS_FROM_DATE,The provided deductions From date is invalid
cis-deductions-api,v1,False,DeductionToDateFormatError,FORMAT_DEDUCTIONS_TO_DATE,The provided deductions To date is invalid
cis-deductions-api,v1,False,RuleIncorrectOrEmptyBodyError,RULE_INCORRECT_OR_EMPTY_BODY_SUBMITTED,An empty or non-matching body was submitted
cis-deductions-api,v1,False,NotFoundError,MATCHING_RESOURCE_NOT_FOUND,Matching resource not found
cis-deductions-api,v1,False,DownstreamError,INTERNAL_SERVER_ERROR,An internal server error occurred
cis-deductions-api,v1,False,BadRequestError,INVALID_REQUEST,Invalid request
cis-deductions-api,v1,False,BVRError,BUSINESS_ERROR,Business validation error
cis-deductions-api,v1,False,ServiceUnavailableError,SERVICE_UNAVAILABLE,Internal server error
cis-deductions-api,v1,False,UnauthorisedError,CLIENT_OR_AGENT_NOT_AUTHORISED,The client and/or agent is not authorised
cis-deductions-api,v1,False,InvalidBearerTokenError,UNAUTHORIZED,Bearer token is missing or not authorized
cis-deductions-api,v1,False,InvalidAcceptHeaderError,ACCEPT_HEADER_INVALID,The accept header is missing or invalid
cis-deductions-api,v1,False,UnsupportedVersionError,NOT_FOUND,The requested resource could not be found
cis-deductions-api,v1,False,InvalidBodyTypeError,INVALID_BODY_TYPE,Expecting text/json or application/json body
individual-calculations,v1,False,NinoFormatError,FORMAT_NINO,The provided NINO is invalid
individual-calculations,v1,False,TaxYearFormatError,FORMAT_TAX_YEAR,The provided tax year is invalid
individual-calculations,v1,False,CalculationIdFormatError,FORMAT_CALC_ID,The provided Calculation ID is invalid
individual-calculations,v1,False,RuleIncorrectOrEmptyBodyError,RULE_INCORRECT_OR_EMPTY_BODY_SUBMITTED,An empty or non-matching body was submitted
individual-calculations,v1,False,RuleNoIncomeSubmissionsExistError,RULE_NO_INCOME_SUBMISSIONS_EXIST,No income submissions exist for the tax year
individual-calculations,v1,False,NotFoundError,MATCHING_RESOURCE_NOT_FOUND,Matching resource not found
individual-calculations,v1,False,DownstreamError,INTERNAL_SERVER_ERROR,An internal server error occurred
individual-calculations,v1,False,BadRequestError,INVALID_REQUEST,Invalid request
individual-calculations,v1,False,BVRError,BUSINESS_ERROR,Business validation error
individual-calculations,v1,False,ServiceUnavailableError,SERVICE_UNAVAILABLE,Internal server error
individual-calculations,v1,False,InvalidBodyTypeError,INVALID_BODY_TYPE,Expecting text/json or application/json body
individual-calculations,v1,False,UnauthorisedError,CLIENT_OR_AGENT_NOT_AUTHORISED,The client and/or agent is not authorised
individual-calculations,v1,False,InvalidBearerTokenError,UNAUTHORIZED,Bearer token is missing or not authorized
individual-calculations,v1,False,InvalidAcceptHeaderError,ACCEPT_HEADER_INVALID,The accept header is missing or invalid
individual-calculations,v1,False,UnsupportedVersionError,NOT_FOUND,The requested resource could not be found
individual-calculations,v2,False,NinoFormatError,FORMAT_NINO,The provided NINO is invalid
individual-calculations,v2,False,TaxYearFormatError,FORMAT_TAX_YEAR,The provided tax year is invalid
individual-calculations,v2,False,CalculationIdFormatError,FORMAT_CALC_ID,The provided Calculation ID is invalid
individual-calculations,v2,False,RuleIncorrectOrEmptyBodyError,RULE_INCORRECT_OR_EMPTY_BODY_SUBMITTED,An empty or non-matching body was submitted
individual-calculations,v2,False,RuleNoIncomeSubmissionsExistError,RULE_NO_INCOME_SUBMISSIONS_EXIST,No income submissions exist for the tax year
individual-calculations,v2,False,NotFoundError,MATCHING_RESOURCE_NOT_FOUND,Matching resource not found
individual-calculations,v2,False,DownstreamError,INTERNAL_SERVER_ERROR,An internal server error occurred
individual-calculations,v2,False,BadRequestError,INVALID_REQUEST,Invalid request
individual-calculations,v2,False,BVRError,BUSINESS_ERROR,Business validation error
individual-calculations,v2,False,ServiceUnavailableError,SERVICE_UNAVAILABLE,Internal server error
individual-calculations,v2,False,InvalidBodyTypeError,INVALID_BODY_TYPE,Expecting text/json or application/json body
individual-calculations,v2,False,UnauthorisedError,CLIENT_OR_AGENT_NOT_AUTHORISED,The client and/or agent is not authorised
individual-calculations,v2,False,InvalidBearerTokenError,UNAUTHORIZED,Bearer token is missing or not authorized
individual-calculations,v2,False,InvalidAcceptHeaderError,ACCEPT_HEADER_INVALID,The accept header is missing or invalid
individual-calculations,v2,False,UnsupportedVersionError,NOT_FOUND,The requested resource could not be found
individual-calculations-api,v1,True,NinoFormatError,FORMAT_NINO,The provided NINO is invalid
individual-calculations-api,v1,True,TaxYearFormatError,FORMAT_TAX_YEAR,The provided tax year is invalid
individual-calculations-api,v1,True,CalculationIdFormatError,FORMAT_CALC_ID,The provided Calculation ID is invalid
individual-calculations-api,v1,True,TypeFormatError,FORMAT_TYPE,The provided type value is invalid
individual-calculations-api,v1,True,NoMessagesExistError,NO_MESSAGES_PRESENT,No messages present
individual-calculations-api,v1,True,EndOfYearEstimateNotPresentError,END_OF_YEAR_ESTIMATE_NOT_PRESENT,End of year estimate data will only be returned for an in-year calculation
individual-calculations-api,v1,True,RuleTaxYearNotSupportedError,RULE_TAX_YEAR_NOT_SUPPORTED,"Tax year not supported, because it precedes the earliest allowable tax year"
individual-calculations-api,v1,True,RuleIncorrectOrEmptyBodyError,RULE_INCORRECT_OR_EMPTY_BODY_SUBMITTED,An empty or non-matching body was submitted
